DestName,subtype,rating,lang,textwithrating1,textwithrating2,textwithrating3,textwithrating4,textwithrating5,webUrl,longitude,latitude,phone,address,website,numberOfReviews
My Saudi Tours,City Tours,4.5,en,"Please do NOT use this company! They are scammers and we have had a terrible experience with them. I have lived in Saudi since 2014 and finally my family came to visit me for a holiday. We had no car and this company offered pick up from our location, they sent us an email and advertised a trip with a full itinerary, which looked really attractive, so we asked to proceed. 

Firstly they were extremely slow at confirming, only on the morning of the trip did they actually answer their phone or email despite me trying to contact them for two days.

Next a driver did pick us up from our location, no English, but used google translate and we managed. He stopped at a gas station and asked us for cash. We only had 250 sar which he wanted for petrol and somehow communicated this will be deducted from the price. This was not mentioned previously, but he obviously didnt have any money and we needed gas to get to the desert. He then sent a link and wanted the full amount paid. It was a substantial amount. We paid using the link in full as all the trips were pay upon booking.

When we arrived it was a lovely camp. It was actually a lovely evening. The problem was most of the itinerary was missing! There was no camel ride (my kids were absolutely devastated), no BBQ, no light games, no music, and no preparing the food in the traditional way. 

Due to the price we paid we asked for a partial refund as the advertised itinerary was completely missing from the trip.

Of course they disappeared from the face of the earth and we haven't been able to contact them since.

Extremely poorly run company, zero customer service.",,,"A really good way to spend the morning. We got picked up on time in a good vehicle with plenty of room. Arrived at the site after around an hour and a very brief intro to the quads and we were off. The time on the bikes was plenty and we were left to drive in dunes by ourselves.  After the ride there was a chance to sit on a camel for a short stroll guided by a staff member with a rope. On way back we stopped for a drink at Dunkin Donuts paid for us. Overall very good. Some potential improvements - optional helmet on the bikes, tidier dunes - lots of litter, a longer camel ride option over the dunes and finally a better local coffee shop - Dunkin is not good coffee! But I am very glad I did this trip and would recommend it.","Beautiful and well organised trip! From 2 pm to 8 pm all according to plan. Nice walk, wonderful scenery and coffee with a view.",https://www.tripadvisor.com/Attraction_Review-g293995-d25075201-Reviews-My_Saudi_Tours-Riyadh_Riyadh_Province.html,,,+971 56 384 0613,"City Center Riyadh, Riyadh 12211 Saudi Arabia",https://mysauditours.com/,16
Umrah Travel,Multi-day Tours,4.5,en,,,,"Enjoyed every minute of it until returning.
Advice for everyone who is going for Umrah get your Umrah visa through an agent and not online e-visa. E visa you are not entitled to get Zam Zam water bottle from airport only if you got Visa through an agent.","I generally prefer making my own bookings due to budget constraints, but for my first Umrah visit with my parents and kids, I decided to hire some services from a local agency. I came across their website and got in touch with Mr. Ibrahim, who was fluent in English and took care of everything efficiently. I generally prefer making my own bookings due to budget constraints, but for my first Umrah visit with my parents and kids, I decided to hire some services from a local agency. I came across their website and got in touch with Mr. Ibrahim, who was fluent in English and took care of everything efficiently.",https://www.tripadvisor.com/Attraction_Review-g293993-d23292780-Reviews-Umrah_Travel-Mecca_Makkah_Province.html,,,+966 53 390 6174,"Misbalah, Mecca 21955 Saudi Arabia",https://www.umrahtravel.com,3
Shaza Afiya Spa and Wellness Center,Sports Camps & Clinics,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d21226361-Reviews-Shaza_Afiya_Spa_and_Wellness_Center-Riyadh_Riyadh_Province.html,,,+966 11 834 9020,"Shaza Riyadh Hotel Residence 7025 Eastern Ring Road, P.O. Box 2201, Riyadh 14251, Riyadh 14251 Saudi Arabia",https://www.shazahotels.com/en/our-hotels/shaza-riyadh/hotel-services/,0
17Sixty,Parasailing & Paragliding,4.5,en,,,,It was a great experience but I suggest to have a bigger bout for this kind of trips👌🏽 I tried the inflatables and sea bob.,"Great experience with 17 sixty. highly recommended. There entire team was very professional and the best part they took safety very seriously.  

We Choose the following experiences, 

1. Jetski 
2. Boat Trip 
3. Monoskiing",https://www.tripadvisor.com/Attraction_Review-g295419-d26587249-Reviews-17Sixty-Jeddah_Makkah_Province.html,,,+966 9200 33700,"Buillding n.o 4334, Palestine Street, Al-Rehab, Jeddah, Jeddah 23343 Saudi Arabia",https://17sixty.com/,2
Yalla Hike,Multi-day Tours,3.5,en,"We had the red dunes tour which was supposed to have been between 1.30pm and back in Riyadh by 10pm but we got back at 1.30am. These guys left us in the cold desert with no food until 10.30pm. No communication as to what was happening and when you ask them for updates the crew were very very rude. Very poor planning and the coach they used in taking us to the very was very dirty and smelly. Really, a terrible experience. Avoid them at all costs",,"The hike was great but the activity after that was kinda boring. The organizers were not that friendly and accommodating. They could do so much better. I really don’t recommend them if you’re a non-Saudi solo traveler, you might feel left out. Just saying.","The trip was very enjoyable. We walked around the dessert barefoot, did sand donuts in the 4x4, played coordinated games, chilled around and talked, had dinner, and came back to Riyadh. Our host was very nice and so were the employees. My friend was annoyed that we came back later than expected but it was a Friday and we had nothing planned for the next day. Would recommend!",تجربة ولا أروع في حافة العالم! 🏞️ المكان خيالي والطبيعة تأسر القلب 💚 أنصح أي شخص يعشق المغامرات يجربها، مناظر الغروب لا توصف 🌅 والجو كان مثالي جداً للمشي 🚶‍♂️🔥,https://www.tripadvisor.com/Attraction_Review-g293995-d19981789-Reviews-Yalla_Hike-Riyadh_Riyadh_Province.html,46.74604,24.808,+966 54 377 7179,"Ali Almozri, Riyadh 11413 Saudi Arabia",https://yallahike.com/en,17
Edge of the world Riyadh,Hiking & Camping Tours,4.5,en,,,,"ABout a 2 and 1/2 hr drive from Riyadh. Must have use a 4x4 SUV to traverse the wadis and sand berms. Depending on the time of the year, police will be out. Awareness and care near the edge as it can give way.","It definitely a must if you visit the country. Rent a car or a guide and enjoy one of the most stunning views in the world. Go before sunset, amazing.",https://www.tripadvisor.com/Attraction_Review-g293995-d23019072-Reviews-Edge_of_the_world_Riyadh-Riyadh_Riyadh_Province.html,39.15413,21.51656,+966 55 801 8938,"Jeddah Corniche, Riyadh 23212 Saudi Arabia",https://saudiarabiatours.net/edge-of-the-world-tour/,3
Haya Tour,Sightseeing Tours,4,en,Very bad experience. I used to travel private boat. No boat server  proper time. No infomation centre,"We booked a 2 Nights trip to Farasan Island and we told Haya Tours to book the flight tickets so we booked the right flights against an extra fee. The Company double charged us for the fees, but when we told them that they had doublecharged us they returned the double fee at once. But we kept receiving e-mails from Saudia that Our flight tickets would be cancelled because they had not been paid, so that was annoying when we had paid for the tickets to Haya Tours before they were booked! But we had booked a 2 Nights tour, but we only got one night tour without any discount for the missing night. We were supposed to have left on Thursday night for Jizan and then take the free government Ferry to Farasan Island, but Haya Tour changed the Schedule so we left Riyadh at 04.50 and arrived Jizan at 6.40 a.m. The free Ferry to Farasan Island leaves at 7 a.m. and all passengers have to be on Board at 6.45 a.m.!!! It is very easy to see that it is not possible when the flight arrives at 6.40 a.m.! We were picked up at the airport by a driver who was friendly, but not able to communicate With the Group in English. He drove us to the Government Ferry which we could see departing the port. Then the driver drove us to a private port where it was possible to buy for a private boat to take us to Farasan Island. The driver said that we had to pay Rs 50,- each person for the private boat, and we found that was strange since it was Haya Tours responsibilty to get us to Farasan Island. We had to have 2 very strict Security Controls at the private port, - even my Box where I keep my sunglasses were opened, my Money purse was opened and gone through! Then the private port needed to have copies of Our IDs but did not have a photocopy machine so the driver had to drive to have that done while we were waiting in the heat for a while without getting any water. But the trip got much better when we arrived Farasan Island because we got a good driver and the boat trip was great. But we did not stay at the hotel we were supposed to stay at, - we were supposed to stay at a hotel on the Beach, while Our hotel was a 2 star hotel far from the Beach and With Garbage lying outside etc. But the hotel management was excellent, and the hotel manager fixed it so we got refunded the price of the private boat trip to Farasan Island. We also got a good sightseeing trip on Farasan Island on Saturday morning before lunch and taking the Government Ferry to Jizan. The driver picked us up, and we drove around and visited Jizan Heritage Village which was interesting before going to the airport. I really recommend a trip to Farasan Island which has a wonderful Ocean life With dophins, turtles, pelicans etc., but not With Haya Tour. When I pay for an expensive trip, I expect it to be of high quality without any problems at all! My husband and I could easily have flown to London and stayed there at a good hotel for 2 Nights, and it would have been cheaper than the price of this trip! I would think Haya Tours usually does a better job than on this trip, but unfortunately this was the first time we tried Haya Tours and on future trips I will prefer to try other tour operators than Haya Tours!","Haya Tour was kind enough to give up some of their 23rd September National Day holiday so that some of us foreigners could have a Riyadh Tour. We saw a park south of Riyadh where His Majesty King Abdulaziz first looked out from a hilltop toward the fort he was to soon claim, Mismak. Later we saw Fort Mismak but NOT another landmark which we were also promised.","Whether you're a Saudi or an Expat, Haya Tour offers one of the few ways to experience Saudi Arabia and the region in ways that expand your contact with people you might not otherwise have a chance to meet.  They offer 1/2 and full-day trips, overnights and more.  Groups -- even boats -- can be mixed gender & mixed nationality.  The tours themselves are thoughtfully arranged and comfortable.","Excellent presentation of staff, who were friendly and knowledgable of the topic concerning falcons! We had an excellent safe bus driver and our guide was interacting with young kids, having their attention and looking after all on the bus. Highly recommended.",https://www.tripadvisor.com/Attraction_Review-g293995-d7242403-Reviews-Haya_Tour-Riyadh_Riyadh_Province.html,46.71595,24.75268,+966 50 416 6323,"4152 Suliman Bin Yaseer Street, Riyadh Saudi Arabia",http://hayatour.com/,23
Sarajivo Cafe,Coffee & Tea Tours,4,en,I think the owners of Sarajivo cafe on eastern ring road and king Abdullah need to replace their staff as they have no service capability and are extremely rude and unprofessional…,,اولا لا يوجد بالمكان الا كرسي اطفال واحد .. فاضططرت اني اتأخر بالطلب ليمن يفضى الكرسي .. الجلسات محدودة .. والعزل بين الجلسات معدوم تسمع الي جالس جنبك وتقل انكم بجلسه وحدة .. ,,كافي لتمضية بعض الوقت وشرب القهوة ولكن المكان صغير جدا وفي الاجازات والمناسبات يكون مزدحم جدا بالاشخاص ,https://www.tripadvisor.com/Attraction_Review-g293995-d12972382-Reviews-Sarajivo_Cafe-Riyadh_Riyadh_Province.html,46.73509,24.7681,+966 11 280 4020,"8093 Eastern Ring Branch Rd, Riyadh Saudi Arabia",,7
Rich Experience التجربة الثرية لتنظيم الرحلات,Coffee & Tea Tours,5,en,,,,,"Rich experience your operator had organized for us the Taif tour with Mr. Rayan Al Juaid - tour guide who showed us one of the beautiful cities of Saudi arabia- Taif 
We really enjoyed our time starting from the beautiful Taif flower farms, to strawberry farm, towards the Hada souk and end the amazing tour boarding the telefric which was the perfect end of our tour",https://www.tripadvisor.com/Attraction_Review-g298553-d23115450-Reviews-Rich_Experience-Taif_Makkah_Province.html,,,+966 50 426 5634,"Shehar St Taif mall, Taif 21944 Saudi Arabia",https://www.richexperience.sa/,2
Mohammed Travels and Tours,Multi-day Tours,5,en,,,,,"Great tour, recommended. Bring comfortable shoes. Our guide Mohammed was great, with lots of information and cool stories of Old Jeddah. Is a must if you visit this great city. Love visiting Saudi and meeting tons of very good people. Search for boricuaslivingabroad blog and you will find more info on Jeddah",https://www.tripadvisor.com/Attraction_Review-g295419-d25182849-Reviews-Mohammed_Travels_and_Tours-Jeddah_Makkah_Province.html,,,,"____ _____, Jeddah 2989 8100 Saudi Arabia",https://mohadventure.wixsite.com/home,3
"Kizan ""Your Saudi Story""",Multi-day Tours,5,en,,,,,"Not having been able to obtain a guidebook in advance of my visit, I did not have a lot of expectations to Jeddah. The size of the old city of Jeddah was therefore very surprising. I had a great walk with Faisal, and the only thing missing was a nice outdoor café where we could sit down and have a cool drink. That will be an absolutely amazing area once the restorations are done. The visit to the Cornishe was also nice and as an additional sight we went to a temporary art exhibition at the old airport. All in all a great day - and Faisal speaks perfect English!",https://www.tripadvisor.com/Attraction_Review-g295419-d25008660-Reviews-Kizan_Your_Saudi_Story-Jeddah_Makkah_Province.html,,,+966 55 550 5979,"Madina Road Office # 102, Ground Floor, Mamoun Plaza, Jeddah 203327 Saudi Arabia",http://WWW.Kizan.com.sa,2
TREVOPEDIA,Safaris,5,en,,,,,"very good service, clean and spacious sheet for each person. there is canteen during we travel from Makkah to Madinah. space for luggages and rack.",https://www.tripadvisor.com/Attraction_Review-g293993-d25346498-Reviews-TREVOPEDIA-Mecca_Makkah_Province.html,,,+86 187 1551 7440,"Haji Ziarat Kaly Pitao P.o Sakhakot Tehsil Dargai District Malakand KPK Pakistan, Mecca 25000 Saudi Arabia",http://www.trevopedia.com,2
Dive with Imed,Scuba & Snorkeling,5,en,,,,,"We do spend an amazing time visiting new stunning places in the red sea.
it was an unforgettable trip I've ever been in.

Mr. Imed, Thank you for your time, your instructions, everything was organized, Safety was your main concern.

THANK YOU",https://www.tripadvisor.com/Attraction_Review-g295419-d23457173-Reviews-Dive_with_Imed-Jeddah_Makkah_Province.html,,,,Jeddah Saudi Arabia,http://divewithimed.com,4
Abhatrips,Multi-day Tours,5,en,,,,,Really amazingg!! The views is breathtaking!! One of the best beatiful cities in the world!! Make sure to take pictures 24/7,https://www.tripadvisor.com/Attraction_Review-g293995-d26804229-Reviews-Abhatrips-Riyadh_Riyadh_Province.html,,,,"Makkah Al Mukarramah Br Rd, Riyadh 12721 Saudi Arabia",http://Abhatrips.com,5
Al-Sudai For Gold And Jewelry,Gift & Specialty Shops,5,ar,,,,,"من افضل معارض الذهب والمجوهرات 
وشكرا لحسن تعاملهم وتوفير جميع طلبات العميل و خدمتهم السريعه وسوف نكرر الزياره لهم باذن الله",https://www.tripadvisor.com/Attraction_Review-g1074315-d28458979-Reviews-Al_Sudai_For_Gold_And_Jewelry-Jazan_Jizan_Province.html,,,+966 50 960 7778,"3039 King Fahd Rd الغراوي مول, Jazan 82723 Saudi Arabia",https://www.instagram.com/alsudai.7/?hl=en,2
88 Destinations,Multi-day Tours,4,en,"KSA review

The number one rule in business is meeting the expectations that you set. The February 2023 Heritage Tour didn’t do this. There were clues that something wasn’t right even before we all reached Saudi Arabia but I hoped that wasn’t indicative of what lay ahead. 

There’s a lot to see and do in Saudi Arabia but 88 Destinations made it impossible to relax and enjoy it. Constant delays, exceptionally poor organization and logistics, unkept commitments, a lack of local knowledge and poor communication contributed to an anxiety-inducing ‘holiday’. 

I took another company’s tour in Uzbekistan right after this and it was everything the 88Destinations tour wasn’t - efficient, with knowledgeable guides, and respectful of clients’ time and needs. 

Those of us on the Heritage tour began betting each day how late we would start and what the excuses would be. Each day finished a number of hours later than planned, leaving no time to recover. 

I and at least two other passengers were in frequent contact with the agency to request assistance. Instead of correcting the situation comprehensively and right away, half measures were taken and none of them lasted. They compensated through room upgrades and adding a stop or two but we wanted the tour we had paid a great deal of money to take. 

Several times passengers had to take matters into our own hands to make things happen. That simply should never have to happen.

Our tour coordinator, Abdullah, is a very nice man who seems to want the best for his clients. Others in the agency are similarly kind and decent people.

However, this company isn’t ready to do tours. They need to take the time to start over before accepting new clients.",,,Um espaço abandonado que passa agora por uma requalificação com objectivos turísticos bastante pertinentes. Apesar dos edifícios em ruínas o charme e a beleza continuam vivos.,"Sara took me on a tour of Al Balad. I learned so much about the old town itself but also about Saudi Arabia and its culture. It was fantastic to be shown round by such a dynamic, knowledgeable Saudi woman",https://www.tripadvisor.com/Attraction_Review-g295419-d23253726-Reviews-88_Destinations-Jeddah_Makkah_Province.html,39.30511,21.42951,+966 55 444 7070,"Jeddah, Jeddah 23442 Saudi Arabia",https://www.88destinations.com/,6
Orca Divers SA,Scuba & Snorkeling,5,en,,,,,Excellent arrangements and very organized. Great value by all means and I do recommend them for future diving trips at Jeddah and Yanbu.,https://www.tripadvisor.com/Attraction_Review-g295419-d17431712-Reviews-Orca_Divers_SA-Jeddah_Makkah_Province.html,39.12271,21.7366,+966 50 565 0522,"Obhur, Jeddah 23523 Saudi Arabia",https://orcadiverssa.com/,4
Riyadh Tours,Multi-day Tours,4.5,en,,,,"I had to cancel my planned trip to Hong Kong due to the Coronavirus, leaving me with 2 weeks and the need for a Plan B. Saudi Arabia Tours helped me put together an itinerary that met my interests and enabled me to experience the country. I spent a few days in Riyadh, including a fantastic trip to the Edge of the World. Then i flew across the country to Jeddah and drove to Taif and Abha. The guides drove safely and were very accommodating — when we were unable to visit sites on the agenda due to closures, we worked together to come up with alternatives. We also stopped at random places on the road, like a camel milk market and a honey farm. Tourism in Saudi Arabia is in its infancy, so flexibility and an adventurous spirit are necessary. I was satisfied with my choice of 3-star hotels, which were pretty good for that part of the world and had decent breakfast buffets. I would encourage travelers to do their own research and visit places of interest that might not be on the set itineraries. Also, a highlight for me was meeting the extremely welcoming Saudi people, which i did on my own in the evenings. On the whole, i was happy with the services of Saudi Arabia Tours and had a wonderful time on my trip.",They have an on time response to queries. Rokaia their agent’s very helpful. Attending all questions asked as well as updating clients on time during the whole process of booking the tour. No hassle at all. I’m grateful.,https://www.tripadvisor.com/Attraction_Review-g293995-d20194379-Reviews-Riyadh_Tours-Riyadh_Riyadh_Province.html,,,+966 55 801 8938,"Olya St, Riyadh 33511 Saudi Arabia",https://saudiarabiatours.net/riyadh-tours/,2
Desert tours,Walking Tours,5,ja,,,,"コストパフォーマンスのよい旅です。サウジアラビアの自然の地形を感じられます。
足をしっかり固定できる靴が必要です。高所恐怖症の方には向きません。","This tour company run by obaid is excellent.  I did a group tour to the edge of the world (second point as the edge of the world is shut) and it was great.  On time, fun and reasonably priced.  I was even dropped at the airport when we returned.  Fabulous afternoon trip with dinner and campfire.  Well worth using this company.",https://www.tripadvisor.com/Attraction_Review-g293995-d23289921-Reviews-Desert_tours-Riyadh_Riyadh_Province.html,46.66231,24.6679,+966 53 300 2307,"King Khalid road, Riyadh 11543 Saudi Arabia",https://deserttours.me/,5
Diving Bubbles,Scuba & Snorkeling,5,en,,,,,"Excellent trip conducted by Captains Eissa and Mohammad. We are family of 4 with no prior experience of diving. They conducted the tour with expertise & professionalism. They were very reassuring throughout which made the dive very enjoyable. They provided the entire kit and also snacks / light lunch. The whole team was very friendly and experienced. If I ever go on another dive in Yanbu, I will certainly contact them again without any hesitation !! ",https://www.tripadvisor.com/Attraction_Review-g298554-d20174527-Reviews-Diving_Bubbles-Yanbu_Al_Madinah_Province.html,38.00376,24.14285,+966 50 562 0679,"Omar Bin Alkhattab St, Yanbu 46517 Saudi Arabia",https://www.facebook.com/bubbledving/,4
Bateel Diver,Scuba & Snorkeling,4.5,ar,,,المعاملة كانت جيدة جدا الموضفين كانو حترمين للغاية وايظا امكانايتهم كانت حديثة ومميزة افضل من المحلات الاخرى ,"Bateel Diver center is a global unit one of the best center in Saudi Arabia for training and diving gear and diving trips are amazing.They have some courses also Open water,Rescue diving,Adventural diver and enriched Air-Diving","Battel Diver team are amazing. Fun, kind, and accommodating to changes in plans. I always postponed getting certified but got convinced by a friend to finally do it.
Haitham Khaiyat certified me for Open Water, Advance and Rescue Diver and soon getting my dive master certification and still am just as excited as when I started! Highly recommend! I really love the learning and diving community at Bateel Diver. Instructors are highly knowledgeable and informative. 

It’s even more remarkable they are also able to bring it out to other cities within the Kingdom and even countries outside the Kingdom. Where they organize weekly trips and live-aboard trips. I have joined several weekly trips within the Kingdom, to Jubail and Yanbu cities, high quality and knowledgeable team well organized trips with great diving sites. Also, joined 3 live-aboard trips (1 in Maldives, 2 in Egypt) I really can’t tell how much these trips were enjoyable. Again with 5 stars quality, great team and well organized trips. Highly recommended!! 

I have uploaded some photos from different trips and classes with Bateel Diver!!",https://www.tripadvisor.com/Attraction_Review-g298547-d10769095-Reviews-Bateel_Diver-Dammam_Eastern_Province.html,50.15574,26.325312,+966 55 820 2000,"King Faisal Ibn Abd Al Aziz Al Mazruiyah, Dammam 32414 Saudi Arabia",http://www.bateeldiver.com,9
Ghamra Adventures,Multi-day Tours,5,en,,,,,"Ghamra adventure are professional in every way, with fast response, premium services, and good staff.

They will give you an experience of your life, seeing all beautiful sides of Saudi Arabia, its a steal.",https://www.tripadvisor.com/Attraction_Review-g293995-d23519050-Reviews-Ghamra_Adventures-Riyadh_Riyadh_Province.html,,,+966 55 897 7677,"2533 Hittin Imam Saud Bin Faisal RD, Riyadh 13518 Saudi Arabia",http://www.ghamra.sa,7
Travaganza Adventures,Multi-day Tours,5,en,,,,"Jizan Trip with Travaganza was amazing! You get to observe natural beauty of Wadi Valley, where you find waterfalls, mountains, and greenery all at once. You also get to snorkel and swim in one of the Farasan islands. Travaganza team were very cooperative and friendly through the whole trip and I can't wait to join them in future trips!","The trip to umluj was very organized. I also believe that the Travaganza team scheduled the right timing for the trip as the weather was great for both camping& swimming, which I believe is an important factor. It was an exciting, joyful, and relaxing experience that I definitely recommend.",https://www.tripadvisor.com/Attraction_Review-g295419-d17670003-Reviews-Travaganza_Adventures-Jeddah_Makkah_Province.html,,,+966 56 115 5204,"Rawda st, Vibes Offices Vibes Offices, U shape center, Jeddah 11511 Saudi Arabia",,14
horseridingmadinah.co.uk,Horseback Riding Tours,5,en,,,,,"Excellent place to go for a horse ride, I am not really experienced In riding but Hanzalah made it easy and comfortable for me on the day. The views are amazing and surprisingly very close to the haram was a only 10/15 mins away. Inshallah if I get the chance to come to Madinah again I will deffo be visiting again, for the price well worth it.",https://www.tripadvisor.com/Attraction_Review-g298551-d27136440-Reviews-Horseridingmadinah_co_uk-Medina_Al_Madinah_Province.html,,,,"Al `Uyun, Al'uyun,, Medina 42333 Saudi Arabia",http://www.horseridingmadinah.co.uk,2
Hope Of Spring Dive,Scuba & Snorkeling,4.5,en,"The resort is very nice, the dive shop is well-equipped, and there are beautiful coral and fish to see right off the beach!

So why the one star?

I booked a spin-up dive package with the guy at the listed number, flew in from out-of-town, showed up on time (actually 15 min early) and not only was the staff in the dive shop not even aware of my booking, the instructor wasn’t there either.  The instructor no-call, no-showed on me; I was out the taxi fare to and from the resort.  To his credit, the on-duty person at the dive shop, was extremely professional and apologetic, and even refunded my resort access fee which I appreciated.  He put me in contact with the absent instructor who told me he had a vaguely-described emergency.  Stuff happens, I get it, but the impression I got from the call was that he had actually just forgotten me and had a scheduling conflict.  He called around trying to find another diver to go with me unsuccessfully.  The website says they have dive masters and instructors, plural, but no one was available.  I am extremely frustrated that I was not called ahead of time and told that they had to cancel; if they had I might have had time to book at another shop.  Instead, he let me show up hoping it would work out.  I wasted a day of my trip on this place, 1/10 will not use again.",,,,Amazing resort and facility! i believe the best infrastructure i ever experienced in Jeddah. well equipped and amazing place for chilling and diving experience .,https://www.tripadvisor.com/Attraction_Review-g295419-d20812214-Reviews-Hope_Of_Spring_Dive-Jeddah_Makkah_Province.html,39.25783,21.43767,+966 56 222 0007,"Al yamama, Jeddah 21352 Saudi Arabia",http://www.hopespringdive.com,6
Umrah Packages,City Tours,5,en,,,,,"I would choose them again and again for my Hajj and Umrah journey, Undoubtedly the best professional team they have guided you on every step and takecare alot. May Allah SWT reward them for the khidmat they do for Hujjaj (Ameen).",https://www.tripadvisor.com/Attraction_Review-g295419-d26820798-Reviews-Umrah_Packages-Jeddah_Makkah_Province.html,,,+92 333 4344940,"UG-9, Big City Plaza Liberty Round about Gulberg 3, Jeddah 54800 Saudi Arabia",https://www.almamorahgroup.com/Home/Company/18,4
ABDULLAH,"4WD, ATV & Off-Road Tours",5,en,,,,,"By far one of the best guides I’ve had on any TripAdvisor experience. He was very knowledge of the area and attentive with our needs, even going out of his way to provide additional feedback and answer any of our questions. The drone footage was amazing! Cannot recommend it enough!",https://www.tripadvisor.com/Attraction_Review-g293995-d27716290-Reviews-ABDULLAH-Riyadh_Riyadh_Province.html,,,,"King fahd, Riyadh 14212 Saudi Arabia",,21
TOURIST GUIDE AHMAD ALJUAED,Multi-day Tours,4.5,es,,"Nos coincidió que estaban de Ramadán y no pudimos ver nada porque estaba todo cerrado, ni tiendas ni para visitar los sitios, terrible!","Estou em um cruzeiro e ontem dia 4 d abril de 2023 visitei Jeddah(jida) que é linda mas o estresse para chegar la foi gigante. Eu nao sabia que precisaria de visto(visa) para entrar por 1 dia em Jeddah… e no segundo dia de navio recebi um comunicado avisando do visto. Tentei entrar no site, pedir o visto e pagar… simples seria se esse site ja nao estivesse ha 3 meses instavel e poucas pessoas conseguiram pelo celular e ai tiveram q pagar 128 euros pra entrar por 1 dia na cidade… um absurdo. Eu tive q pedir pra alguém com notebook no brasil pra fazer (a bordo por causa da pandemia nao há computadores compartilhados)  e paguei 23 dolares (hj 145 reais) e mesmo assim apos 4 dias tive q acordar cedo no dia do passeio, esperar com uma multidão de passageiros ,as autoridades sauditas subirem no navio para sabermos se eles autorizariam na hora( q foi meu caso) ufa. E quem nao conseguiu fazer( eu fiquei 4 dias,(dia e noite tentando) ou nem tentou teve q pagar 128 euros para poder entrar por algumas horas na cidade. E passamos por controle de passaporte na ida e na volta, sendo q na volta o sistema caiu… 🙆🏻‍♀️ se vc quer visitar essa cidade linda e Historica… faça pelo computador e não deixe para a última hora . ",,Mohammed Ashmawi has been a wonderful guide with history and kind attentions all long the visit. We highly recommend.,https://www.tripadvisor.com/Attraction_Review-g298553-d19259014-Reviews-TOURIST_GUIDE_AHMAD_ALJUAED-Taif_Makkah_Province.html,,,,"Khaled Street, Taif 21944 Saudi Arabia",http://www.ahmadaljuaed.com,12
SJH TOURS,Multi-day Tours,5,en,,,,,"It was an amazing experience with sjh tours.we had amazing trip  to wade disah valley, Neom and the hesma Valley.The trip was very well organised from the beginning till the end.The team was very punctual,informative and super professional too.i highly recommend it.",https://www.tripadvisor.com/Attraction_Review-g679581-d23947169-Reviews-SJH_TOURS-Tabouk_Tabuk_Province.html,,,+966 55 379 0040,"King Khalid Road Tabuk Saudi Arabia, Tabouk 47911 Saudi Arabia",http://www.sjhtours.com,5
Karwa Airport Land Transport,Bus Transportation,5,ar,,,,,قمه الذوق في التعامل والاحترام وحرصين على ارضآ♥️♥️♥️ العميل و متوفر كل سبل الراحه على مدار الرحله ♥️♥️♥️❤️❤️❤️❤️❤️❤️❤️,https://www.tripadvisor.com/Attraction_Review-g293993-d27686550-Reviews-Karwa_Airport_Land_Transport-Mecca_Makkah_Province.html,39.825836,21.41901,+966 12 532 3821,Mecca 24213 Saudi Arabia,https://karwa2030.com/,2
TREVOPEDIA,City Tours,4,en,This tour was really terrible. The driver got lost coming to the hotel and was on the phone speaking in Urdu the whole time I asked him to stop and talk to us about the places we are visiting. He would stop for few minutes and then keeps talking on the phone. Did not explain anything. I had to explain to my children the history of the places. He almost got in an accident and had to make a hard stop and my daughter hit her head. Before we got to the last stop he said we are taking a long time and that he has another trip and if I want to continue to negotiate with him and I understood it as he wanted me to give him more money. He picked us after 1 pm and dropped us at the Haram at 3:20 so it was 2:20 hours. He never explained anything and was on the phone all the time. I will not recommend this tour to anyone. You better off just hiring a taxi and have him take you to these places. Much cheaper.,"The ad is very misleading. For those travelling first time like I was I wanted to share this experience. I don’t normally do so but feeling is important to share this as it is very unfair.
I appreciate mistakes can be made but some things are not on.
When our correct driver arrived ( mistake rectified by the travel company - separate to this tour provider)  he was friendly enough but very little explanation. Only had an history provided for first site - which was about a minute long! No commentary for the rest and entry to half the places was not available. 
Further more after our first stop - Mount Uhud ( ps. Ziyarats are not in order of listed) which suggests a 40 minute stop. The driver actually informed us that he had been told that each stop was 10 mins!!! We confirmed with him the booking details and timings. We have spoken to the tour company who have not been helpful at all and stated the time includes the travel time to each of the sites. Very misleading; below average and at over £100 very expensive for such a poor tour. Other drivers have suggested they would not pay more than £70 for something like this.

I’m very disappointed and unfortunately would not recommend. We are in Medina our Beloved Prophets home, if you are wanting a Ziyarat I would highly recommend you look elsewhere.","Ok service. Just took two hours due to traffic and double turns, which was slightly long and frustrating for the children.","The tour was good. Abou hamza was a very good guide, he knew a lot about the story of places, and was very on time. Liked it ",The tour guide was very informative and cooperative. The driver came on time and we are very happy with the service. Recommended for everyone want to visit the holy sites in Madinah,https://www.tripadvisor.com/Attraction_Review-g295419-d24940234-Reviews-TREVOPEDIA-Jeddah_Makkah_Province.html,,,+86 187 1551 7440,"7716 King Fahd Rd, Al Baghdadiyah Ash Sharqiyah Suit E136, Jeddah 21432 Saudi Arabia",http://www.trevopedia.com,19
